graph_id,graph_edge_list,node_labels
13947,"[[7, 3], [7, 8], [7, 9], [3, 4], [3, 2], [5, 4], [6, 4], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'N', 'S', 'O', 'O', 'N', 'O', 'O']"
1409,"[[7, 8], [7, 4], [7, 9], [3, 1], [3, 6], [5, 8], [5, 2], [6, 4], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'C', 'O']"
14219,"[[7, 0], [7, 6], [3, 0], [3, 2], [5, 6], [5, 4], [8, 2], [8, 9], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'S', 'C', 'C', 'O', 'C', 'N']"
14285,"[[7, 0], [7, 8], [7, 6], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [9, 0], [4, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O']"
1430,"[[3, 5], [3, 1], [5, 6], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'N', 'C', 'C', 'S', 'S', 'C']"
14311,"[[7, 6], [3, 8], [3, 4], [3, 2], [5, 8], [5, 6], [6, 4], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'N', 'S', 'C', 'S', 'C']"
1439,"[[7, 4], [3, 5], [3, 6], [3, 1], [8, 4], [1, 0], [0, 2], [4, 2]]","['C', 'N', 'N', 'C', 'C', 'C', 'C', 'C', 'C']"
14454,"[[7, 8], [7, 6], [7, 9], [3, 2], [5, 6], [5, 2], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'P', 'O', 'O', 'O', 'C', 'C', 'O', 'O']"
1453,"[[7, 3], [7, 5], [3, 1], [3, 6], [5, 2], [1, 0], [1, 2], [4, 2]]","['C', 'N', 'C', 'C', 'O', 'C', 'S', 'S']"
14560,"[[7, 4], [3, 5], [3, 6], [3, 2], [3, 4], [8, 0], [1, 0], [1, 2], [1, 9], [0, 4]]","['C', 'C', 'N', 'S', 'N', 'O', 'O', 'C', 'O', 'C']"
14561,"[[7, 6], [3, 2], [5, 4], [8, 1], [8, 2], [6, 2], [1, 0], [9, 4], [4, 2]]","['C', 'C', 'C', 'N', 'C', 'O', 'C', 'O', 'C', 'O']"
14733,"[[7, 6], [3, 5], [3, 4], [3, 1], [8, 6], [6, 0], [1, 0], [1, 2]]","['N', 'C', 'C', 'C', 'O', 'N', 'N', 'O', 'O']"
1480,"[[7, 5], [7, 9], [3, 5], [3, 2], [5, 8], [8, 6], [6, 4], [1, 0], [0, 2], [4, 2]]","['S', 'C', 'C', 'C', 'N', 'C', 'C', 'S', 'N', 'C']"
1485,"[[7, 4], [7, 9], [3, 1], [5, 2], [5, 8], [5, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['C', 'C', 'N', 'C', 'C', 'C', 'O', 'C', 'S', 'S']"
149,"[[0, 1], [0, 2], [1, 3]]","['C', 'N', 'O', 'C']"
14921,"[[3, 0], [5, 0], [6, 0], [1, 0], [0, 4], [0, 2]]","['Co', 'N', 'I', 'N', 'N', 'I', 'I']"
14929,"[[3, 0], [5, 0], [6, 0], [1, 0], [0, 4], [0, 2]]","['Co', 'N', 'N', 'N', 'Cl', 'Cl', 'Cl']"
1496,"[[7, 3], [7, 8], [3, 1], [3, 6], [5, 6], [5, 2], [8, 4], [8, 9], [1, 0], [1, 2], [4, 2]]","['C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O']"
1497,"[[7, 3], [7, 8], [3, 1], [3, 6], [5, 6], [5, 2], [8, 4], [8, 9], [1, 0], [1, 2], [4, 2]]","['C', 'N', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O']"
14972,"[[7, 6], [3, 2], [3, 6], [3, 4], [5, 2], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'C', 'O', 'C', 'O']"
14973,"[[7, 6], [3, 0], [3, 4], [5, 2], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'C', 'C', 'C', 'O', 'C', 'O']"
15064,"[[7, 6], [3, 5], [3, 4], [3, 1], [5, 8], [5, 6], [8, 0], [8, 9], [1, 0], [1, 2]]","['N', 'C', 'O', 'C', 'O', 'C', 'C', 'N', 'C', 'O']"
1524,"[[7, 6], [7, 4], [3, 1], [3, 6], [5, 2], [5, 9], [8, 4], [8, 9], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'N']"
1539,"[[0, 1], [0, 2], [1, 3], [3, 4], [2, 4]]","['C', 'C', 'C', 'N', 'N']"
15507,"[[7, 8], [7, 6], [7, 9], [3, 4], [3, 2], [5, 0], [5, 6], [5, 4], [1, 0], [1, 2], [9, 4]]","['C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'S', 'O']"
15693,"[[7, 6], [3, 5], [3, 4], [3, 2], [5, 6], [8, 6], [1, 0], [1, 2]]","['O', 'C', 'N', 'C', 'O', 'C', 'C', 'O', 'C']"
15839,"[[7, 3], [7, 9], [3, 4], [3, 2], [5, 0], [5, 4], [8, 6], [6, 0], [1, 0], [1, 2]]","['N', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'O', 'S']"
1584,"[[7, 6], [3, 1], [5, 1], [8, 6], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'N', 'O', 'O', 'O', 'C', 'C', 'O']"
