graph_id,graph_edge_list
0,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1,"[[7, 5], [7, 0], [7, 9], [7, 11], [7, 8], [7, 4], [5, 0], [5, 9], [5, 11], [5, 8], [5, 4], [0, 9], [0, 11], [0, 8], [0, 4], [11, 9], [11, 8], [11, 4], [3, 10], [3, 1], [3, 2], [3, 6], [3, 12], [3, 4], [10, 1], [10, 2], [10, 6], [10, 12], [10, 4], [12, 1], [12, 2], [12, 6], [12, 4], [1, 2], [1, 6], [1, 4], [2, 6], [2, 4], [9, 8], [9, 4], [6, 4], [8, 4]]"
10,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
1001,"[[28, 24], [28, 5], [28, 25], [28, 17], [28, 19], [28, 1], [28, 11], [28, 8], [28, 15], [28, 21], [28, 14], [7, 24], [7, 9], [7, 5], [7, 18], [7, 19], [7, 16], [7, 8], [7, 31], [7, 26], [7, 14], [7, 4], [5, 17], [5, 29], [5, 0], [5, 32], [5, 3], [5, 31], [5, 13], [5, 24], [5, 9], [5, 25], [5, 12], [5, 19], [5, 1], [5, 30], [5, 27], [5, 21], [5, 22], [5, 20], [5, 10], [5, 11], [5, 14], [5, 18], [5, 15], [5, 2], [5, 16], [5, 33], [5, 23], [5, 6], [5, 26], [5, 8], [5, 4], [17, 24], [17, 25], [17, 21], [17, 15], [17, 19], [17, 1], [17, 11], [17, 8], [17, 14], [29, 20], [29, 10], [29, 32], [29, 3], [29, 0], [29, 31], [29, 14], [29, 24], [29, 9], [29, 22], [29, 19], [29, 11], [29, 1], [29, 30], [29, 2], [29, 6], [29, 27], [29, 8], [0, 20], [0, 10], [0, 32], [0, 3], [0, 31], [0, 14], [0, 24], [0, 22], [0, 19], [0, 2], [0, 9], [0, 30], [0, 6], [0, 27], [0, 8], [32, 10], [32, 20], [32, 2], [32, 3], [32, 31], [32, 13], [32, 14], [32, 24], [32, 22], [32, 19], [32, 9], [32, 30], [32, 6], [32, 27], [32, 8], [3, 10], [3, 20], [3, 8], [3, 31], [3, 13], [3, 14], [3, 11], [3, 24], [3, 9], [3, 25], [3, 19], [3, 1], [3, 30], [3, 27], [3, 2], [3, 6], [3, 22], [31, 13], [31, 24], [31, 9], [31, 18], [31, 19], [31, 1], [31, 30], [31, 22], [31, 20], [31, 10], [31, 2], [31, 14], [31, 16], [31, 27], [31, 6], [31, 26], [31, 8], [31, 4], [13, 14], [13, 24], [13, 16], [13, 25], [13, 12], [13, 18], [13, 19], [13, 9], [13, 33], [13, 23], [13, 8], [24, 9], [24, 18], [24, 12], [24, 19], [24, 1], [24, 30], [24, 27], [24, 21], [24, 25], [24, 20], [24, 10], [24, 2], [24, 14], [24, 26], [24, 15], [24, 11], [24, 16], [24, 33], [24, 23], [24, 6], [24, 22], [24, 8], [24, 4], [9, 18], [9, 19], [9, 30], [9, 25], [9, 20], [9, 10], [9, 2], [9, 14], [9, 26], [9, 16], [9, 27], [9, 6], [9, 22], [9, 8], [9, 4], [18, 8], [18, 14], [18, 19], [18, 16], [18, 26], [18, 4], [12, 25], [12, 19], [12, 16], [12, 33], [12, 23], [12, 8], [12, 14], [19, 1], [19, 30], [19, 27], [19, 21], [19, 25], [19, 20], [19, 10], [19, 2], [19, 14], [19, 26], [19, 15], [19, 11], [19, 16], [19, 33], [19, 23], [19, 6], [19, 22], [19, 8], [19, 4], [1, 20], [1, 11], [1, 14], [1, 22], [1, 15], [1, 30], [1, 8], [1, 21], [1, 25], [30, 10], [30, 20], [30, 14], [30, 22], [30, 27], [30, 2], [30, 6], [30, 8], [27, 10], [27, 20], [27, 14], [27, 22], [27, 2], [27, 6], [27, 8], [21, 25], [21, 15], [21, 11], [21, 8], [21, 14], [22, 10], [22, 20], [22, 14], [22, 2], [22, 6], [22, 8], [20, 10], [20, 14], [20, 2], [20, 6], [20, 8], [25, 11], [25, 14], [25, 16], [25, 15], [25, 33], [25, 23], [25, 8], [10, 14], [10, 2], [10, 6], [10, 8], [2, 14], [2, 6], [2, 8], [14, 15], [14, 11], [14, 16], [14, 33], [14, 23], [14, 6], [14, 26], [14, 8], [14, 4], [15, 11], [15, 8], [11, 8], [16, 8], [16, 33], [16, 23], [16, 26], [16, 4], [33, 8], [33, 23], [23, 8], [6, 8], [26, 8], [26, 4], [8, 4]]"
1002,"[[7, 2], [7, 0], [7, 15], [7, 4], [5, 1], [5, 18], [5, 15], [5, 9], [5, 3], [5, 16], [5, 13], [5, 12], [15, 11], [15, 0], [15, 2], [15, 3], [15, 10], [15, 13], [15, 12], [15, 9], [15, 18], [15, 14], [15, 17], [15, 19], [15, 1], [15, 16], [15, 6], [15, 8], [15, 4], [11, 8], [11, 6], [11, 14], [0, 2], [0, 4], [2, 4], [3, 1], [3, 12], [3, 9], [3, 16], [3, 13], [3, 18], [10, 8], [10, 17], [10, 14], [13, 1], [13, 12], [13, 9], [13, 16], [13, 18], [12, 1], [12, 9], [12, 16], [12, 18], [9, 16], [9, 18], [9, 1], [18, 1], [18, 16], [14, 17], [14, 19], [14, 8], [14, 6], [14, 4], [17, 19], [17, 8], [17, 4], [19, 4], [1, 16], [6, 8]]"
1004,"[[7, 5], [7, 10], [7, 2], [7, 3], [7, 0], [7, 13], [7, 12], [7, 1], [7, 11], [7, 9], [7, 6], [7, 8], [7, 4], [5, 10], [5, 2], [5, 3], [5, 0], [5, 13], [5, 12], [5, 1], [5, 11], [5, 9], [5, 6], [5, 8], [5, 4], [0, 10], [0, 11], [0, 3], [0, 13], [0, 12], [0, 1], [0, 2], [0, 9], [0, 6], [0, 8], [0, 4], [11, 2], [11, 3], [11, 10], [11, 13], [11, 12], [11, 1], [11, 9], [11, 6], [11, 8], [11, 4], [3, 8], [3, 10], [3, 13], [3, 12], [3, 1], [3, 2], [3, 9], [3, 6], [3, 4], [10, 13], [10, 12], [10, 1], [10, 2], [10, 9], [10, 6], [10, 8], [10, 4], [13, 12], [13, 1], [13, 2], [13, 9], [13, 6], [13, 8], [13, 4], [12, 1], [12, 2], [12, 9], [12, 6], [12, 8], [12, 4], [1, 2], [1, 9], [1, 6], [1, 8], [1, 4], [2, 9], [2, 6], [2, 8], [2, 4], [9, 6], [9, 8], [9, 4], [6, 8], [6, 4], [8, 4]]"
1005,"[[1, 7], [1, 5], [1, 0], [1, 9], [1, 2], [1, 3], [1, 10], [1, 6], [1, 8], [1, 4], [7, 5], [7, 0], [7, 9], [7, 2], [7, 3], [7, 10], [7, 6], [7, 8], [7, 4], [5, 0], [5, 9], [5, 2], [5, 3], [5, 10], [5, 6], [5, 8], [5, 4], [0, 10], [0, 9], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [9, 2], [9, 3], [9, 10], [9, 6], [9, 8], [9, 4], [2, 3], [2, 10], [2, 6], [2, 8], [2, 4], [3, 8], [3, 10], [3, 6], [3, 4], [10, 6], [10, 8], [10, 4], [6, 8], [6, 4], [8, 4]]"
1006,"[[7, 1], [7, 5], [7, 0], [7, 9], [7, 11], [7, 3], [7, 10], [7, 6], [7, 8], [7, 12], [5, 1], [5, 0], [5, 9], [5, 11], [5, 3], [5, 10], [5, 6], [5, 8], [5, 12], [0, 1], [0, 10], [0, 9], [0, 11], [0, 3], [0, 6], [0, 8], [0, 12], [11, 9], [11, 10], [11, 1], [11, 3], [11, 6], [11, 8], [11, 12], [3, 1], [3, 9], [3, 8], [3, 10], [3, 6], [3, 12], [10, 1], [10, 9], [10, 6], [10, 8], [10, 12], [13, 2], [13, 12], [13, 4], [12, 1], [12, 2], [12, 9], [12, 6], [12, 8], [12, 4], [1, 9], [1, 6], [1, 8], [2, 4], [9, 6], [9, 8], [6, 8]]"
1007,"[[7, 1], [7, 10], [7, 5], [7, 0], [7, 9], [7, 11], [7, 3], [7, 2], [7, 6], [7, 8], [7, 4], [5, 1], [5, 0], [5, 9], [5, 11], [5, 3], [5, 2], [5, 6], [5, 8], [5, 10], [5, 4], [0, 1], [0, 10], [0, 9], [0, 11], [0, 3], [0, 2], [0, 6], [0, 8], [0, 4], [11, 9], [11, 1], [11, 2], [11, 3], [11, 10], [11, 6], [11, 8], [11, 4], [3, 1], [3, 9], [3, 2], [3, 8], [3, 10], [3, 6], [3, 4], [10, 1], [10, 9], [10, 2], [10, 6], [10, 8], [10, 4], [1, 9], [1, 2], [1, 6], [1, 8], [1, 4], [2, 9], [2, 6], [2, 8], [2, 4], [9, 6], [9, 8], [9, 4], [6, 8], [6, 4], [8, 4]]"
1009,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
