id_1,id_2,true_ged
8116,8116,0
8116,559,1
8116,5726,3
8116,152,4
8116,40,6
8116,149,6
8116,645,6
8116,717,6
8116,4200,6
8116,5460,6
8116,6073,6
8116,6074,5
8116,11181,5
8116,22445,6
8116,6072,6
8116,1131,8
8116,1539,9
8116,13071,8
8116,7909,8
8116,55,11
8116,93,11
8116,96,10
8116,106,10
8116,164,11
8116,250,11
8116,347,11
8116,425,10
8116,606,11
8116,913,10
8116,982,11
8116,1371,10
8116,3487,11
8116,3936,11
8116,4329,10
8116,6496,11
8116,10567,10
8116,11015,10
8116,11215,11
8116,18104,11
8116,19439,10
8116,30,11
8116,170,11
8116,245,10
8116,1540,10
8116,6389,11
8116,7833,11
8116,90,12
8116,136,13
8116,213,13
8116,260,12
8116,346,13
8116,802,13
8116,1078,13
8116,1317,13
8116,1430,13
8116,1884,13
8116,2096,13
8116,2324,13
8116,2738,12
8116,3343,12
8116,4249,12
8116,4618,13
8116,6152,13
8116,6286,13
8116,6669,13
8116,6800,12
8116,7410,13
8116,7413,11
8116,7574,14
8116,7795,11
8116,7898,12
8116,7962,12
8116,8651,12
8116,9900,12
8116,10559,12
8116,12430,13
8116,14921,12
8116,14929,11
8116,17221,13
8116,21823,12
8116,22447,12
8116,91,13
8116,244,13
8116,1136,12
8116,2855,12
8116,3179,12
8116,7280,13
8116,13479,13
8116,15697,12
8116,39,13
8116,61,16
8116,101,14
8116,171,14
8116,242,14
8116,334,14
8116,376,14
8116,402,14
8116,485,14
8116,487,14
8116,634,15
8116,770,15
8116,812,14
8116,858,14
8116,1016,14
8116,1018,14
8116,1025,15
8116,1118,15
8116,1453,15
8116,1622,14
8116,1626,15
8116,1688,16
8116,1703,14
8116,2097,15
8116,2198,14
8116,2417,15
8116,2479,14
8116,2631,15
8116,2687,14
8116,2693,15
8116,2745,15
8116,2802,14
8116,2865,14
8116,2869,14
8116,3181,14
8116,3440,14
8116,3595,15
8116,3944,15
8116,4256,15
8116,4445,15
8116,4511,16
8116,4821,14
8116,4962,14
8116,5066,16
8116,5256,15
8116,6153,15
8116,6261,15
8116,6264,15
8116,7124,16
8116,7216,15
8116,8161,15
8116,8805,15
8116,8959,13
8116,9031,14
8116,10098,15
8116,10100,15
8116,10566,15
8116,12115,15
8116,12206,15
8116,13466,15
8116,14972,15
8116,14973,15
8116,15843,15
8116,15844,15
8116,16597,14
8116,20448,15
8116,20679,14
8116,20691,14
8116,21824,14
8116,22330,14
8116,22444,14
8116,22635,15
8116,22766,16
8116,23492,14
8116,23539,16
8116,24829,15
8116,25528,15
8116,27320,15
8116,28587,13
8116,29472,14
8116,31573,13
8116,32876,14
8116,34876,15
8116,36114,13
8116,37658,14
8116,39054,15
8116,41420,15
8116,602,15
8116,769,15
8116,1011,15
8116,1101,14
8116,1322,14
8116,1635,15
8116,1743,16
8116,2413,15
8116,2467,14
8116,2486,16
8116,3180,15
8116,3758,16
8116,10121,13
8116,12325,14
8116,13339,15
8116,15378,14
8116,15414,15
8116,27583,14
8116,28589,13
8116,34208,14
8116,34410,15
8116,39567,14
8116,21,16
8116,29,18
8116,45,18
8116,51,17
8116,58,16
8116,117,16
8116,165,17
8116,230,17
8116,251,17
8116,265,17
8116,412,16
8116,462,16
